企业名称, 法定代表人, 注册资本(元), 注册资金币种, 所属省份,电话,类别
深圳市纺织（集团）股份有限公司,朱军,51127415,元人民币,广东,0755-83776802,纺织
新疆天山毛纺织股份有限公司,武宪章,46749537,元人民币,新疆,0991-4336008,纺织
咸阳纺织集团有限公司,范振华,40000000,元人民币,陕西,029-32085010,纺织
江苏金润纺织有限公司,宋B,80000000,元人民币,江苏,0510-86120582,纺织
浙江新澳纺织股份有限公司,沈建华,51174639,元人民币,浙江,0573-88226060,纺织
江苏华西村纺织服装有限公司,赵明春,50000000,元人民币,江苏,0510-86216228,纺织
鲁泰纺织股份有限公司,刘子斌,85812154,元人民币,山东,0533-5278431,纺织
上海嘉麟杰纺织品股份有限公司,王忠辉,83200000,元人民币,上海,021-37330000,纺织
安徽华茂纺织股份有限公司,倪俊龙,94366501,元人民币,安徽,0556-5919892,纺织
山东天虹纺织有限公司,杜东超,70000000,元人民币,山东,0537-3361666,纺织
广州纺织工贸企业集团有限公司,林虎,73483300,元人民币,广东,020-83348898,纺织
江苏德源纺织服饰有限公司,陶建新,50000000,元人民币,江苏,0510-86121237,纺织
新疆金纺纺织股份有限公司,阿德江・达吾提,42101874,元人民币,新疆,0991-4875459,纺织
新疆东纯兴纺织有限公司,凌力,100000000,元人民币,新疆,0998-6575690,纺织
广州市泽达棉麻纺织品有限公司,张立娜,433000000,元人民币,广东,18868819914,纺织
阿拉尔市中泰纺织科技有限公司,王彦波,60000000,元人民币,新疆,0997-6869538,纺织
广东瑞仑特纺织有限公司,吴伟龙,40000000,元人民币,广东,0769-88329761,纺织
新疆喀什齐鲁纺织服装有限公司,李保仓,44240000,元人民币,新疆,0998-5839111,纺织
武汉裕大华纺织服装集团有限公司,万由顺,60000000,元人民币,湖北,027-88222725,纺织
雅戈尔纺织控股有限公司,李如成,55000000,元人民币,浙江,0574-56577168,纺织
图木舒克市东湖兴纺织有限公司,凌力,50000000,元人民币,新疆,0998-6393007,纺织
宁夏恒丰纺织科技股份有限公司,米恩强,40670000,元人民币,宁夏,0953-6595032,纺织
咸阳秦雅纺织有限公司,范振华,100000000,元人民币,陕西,029-32085091,纺织
佛山市丰宝纺织有限公司,钟伟盛,45000000,元人民币,广东,0757-82125693,纺织
图木舒克市前海棉纺织有限责任公司,粟爱民,48106830,元人民币,新疆,18799504135,纺织
宁夏生态纺织产业有限公司,王恩清,50000000,元人民币,宁夏,13909579030,纺织
江阴赛维毛纺织有限公司,陈丽芬,48122738,元人民币,江苏,0510-86121888,纺织
图木舒克市东恒兴纺织科技有限公司,凌力,60000000,元人民币,新疆,0998-6393007,纺织
大同市中银纺织科技有限公司,冯文明,100000000,元人民币,山西,0352-5323899,纺织
湖北嘉麟杰纺织品有限公司,黄伟国,45000000,元人民币,湖北,0715-6909090,纺织
济宁如意纺织材料有限公司,孙卫婴,100000000,元人民币,山东,0537-2933039,纺织
新疆六孚纺织工业园有限公司,孙伟挺,67650000,元人民币,新疆,0994-6805220,纺织
济宁如意国际纺织发展有限公司,孙卫婴,50000000,元人民币,山东,0537-2933039,纺织
南通市通州区港飞纺织科技有限公司,张春燕,40000000,元人民币,江苏,0513-86821686,纺织
吉林德惟智能纺织科技股份有限公司,周朋举,100000000,元人民币,吉林,18954207979,纺织
中纺丝路（天津）纺织服装科技有限公司,郑继平,60000000,元人民币,天津,010-87934057,纺织
经纬智能纺织机械有限公司,高林郁,140000000,元人民币,山西,0354-2492001,纺织
本溪钢铁（集团）有限责任公司,杨成广,629166880,元人民币,辽宁,024-47828766,钢铁
湖南华菱钢铁股份有限公司,曹志强,612907721,元人民币,湖南,0731-89952811,钢铁
涞源县奥宇钢铁有限公司,丁立国,27000000,元人民币,河北,0312-7843118,钢铁
重庆永航钢铁集团有限公司,秦涛,26000000,元人民币,重庆,023-40714615,钢铁
河北津西钢铁集团股份有限公司,于利峰,22863557,元人民币,河北,0315-5888174,钢铁
天津冶金轧一钢铁集团有限公司,王天旭,128000000,元人民币,天津,022-58688796,钢铁
江西方大钢铁集团有限公司,黄智华,103533900,元人民币,江西,0791-86753051,钢铁
广东汉鑫钢铁集团有限公司,史诗鑫,20000000,元人民币,广东,0755-27843966,钢铁
柳州钢铁股份有限公司,陈有升,256279320,元人民币,广西,0772-2595971,钢铁
汇金钢铁（天津）集团有限公司,张桂全,39800000,元人民币,天津,022-58802385,钢铁
云南曲靖钢铁集团有限公司,刘依渠,385000000,元人民币,云南,0874-8960699,钢铁
江苏沿海钢铁集团有限公司,王爱瑞,20000000,元人民币,江苏,0518-85866579,钢铁
湖南华菱钢铁集团有限责任公司,曹志强,200000000,元人民币,湖南,0731-89952000,钢铁
山西晋南钢铁集团有限公司,张天福,20000000,元人民币,山西,0357-4530920,钢铁
云南永钢钢铁集团有限公司,段青,365000000,元人民币,云南,13312518656,钢铁
北台钢铁（集团）有限责任公司,陈新,404680000,元人民币,辽宁,024-47839333,钢铁
河北前进钢铁集团有限公司,马西波,80000000,元人民币,河北,0316-7608888,钢铁
唐山东华钢铁企业集团有限公司,王洪,200000000,元人民币,河北,0315-8590069,钢铁
新余钢铁股份有限公司,夏文勇,318872270,元人民币,江西,0790-6292925,钢铁
凌源钢铁股份有限公司,文广,277108274,元人民币,辽宁,0421-6838186,钢铁
玖隆钢铁物流有限公司,季徽强,112800176,元人民币,江苏,0512-35012165,钢铁
广州珠江钢铁有限责任公司,刘中秋,137036630,元人民币,广东,020-81898180,钢铁
江阴市长达钢铁有限公司,范素月,20000000,元人民币,江苏,0510-86168168,钢铁
凌源钢铁集团有限责任公司,文广,160000000,元人民币,辽宁,0421-6838178,钢铁
天津市利丰源达钢铁集团有限公司,黄俊银,38000000,元人民币,天津,022-23966789,钢铁
本溪钢铁（集团）矿业有限责任公司,赵铁林,268000000,元人民币,辽宁,0414-47839261,钢铁
陕西华鑫特种钢铁集团有限公司,刘正平,41010000,元人民币,陕西,0913-2449216,钢铁
乌海市包钢万腾钢铁有限责任公司,李刚利,328600000,元人民币,内蒙古,0473-2662857,钢铁
南京南钢钢铁联合有限公司,黄一新,300000000,元人民币,江苏,025-57074538,钢铁
河北兴华钢铁有限公司,陈茂春,22260000,元人民币,河北,0310-5173991,钢铁
江阴兴澄特种钢铁有限公司,李国忠,1236579745,元人民币,江苏,0510-86193388,钢铁
天津建龙钢铁实业有限公司,张志祥,200000000,元人民币,天津,022-59856668-778,钢铁
阳春新钢铁有限责任公司,左都伟,280000000,元人民币,广东,0662-8259361,钢铁
包头钢铁（集团）有限责任公司,魏栓师,1642697711,元人民币,内蒙古,0472-2189021,钢铁
上海宝闽钢铁集团有限公司,许松军,32800000,元人民币,上海,13818685181,钢铁
重庆长寿钢铁有限公司,周竹平,400000000,元人民币,重庆,18875298825,钢铁
涟源钢铁集团有限公司,肖尊湖,95932077,元人民币,湖南,0738-8662500,钢铁
攀钢集团成都钢铁有限责任公司,张虎,156000000,元人民币,四川,028-83616513,钢铁
泸州鑫阳钒钛钢铁有限公司,刘义腾,200000000,元人民币,四川,0830-8966555,钢铁
山东莱钢永锋钢铁有限公司,董和玉,300000000,元人民币,山东,0534-5759577,钢铁
天津大无缝钢铁开发有限公司,刘千民,30000000,元人民币,天津,022-24800812,钢铁
云南永钢钢铁集团永昌钢铁有限公司,段青,300000000,元人民币,云南,13312518656,钢铁
日照钢铁供应有限公司,吴泉辉,20000000,元人民币,山东,0633-2969682,钢铁
江苏省镔鑫钢铁集团有限公司,陈彬,200000000,元人民币,江苏,0518-86998881,钢铁
唐山东海钢铁集团有限公司,余建铭,120000000,元人民币,河北,0315-7109599,钢铁
河南济源钢铁（集团）有限公司,李玉田,100000000,元人民币,河南,0391-6688018,钢铁
唐山市德龙钢铁有限公司,丁立国,596000000,元人民币,河北,0315-4099086,钢铁
河北新武安钢铁集团有限公司,王文安,147573000,元人民币,河北,0310-3716769,钢铁
无锡市雪丰钢铁有限公司,陆锦祥,24444000,元人民币,江苏,0510-83215011,钢铁
湖北新鑫钢铁集团有限公司,刘桑田,20000000,元人民币,湖北,18507236656,钢铁
重庆足航钢铁有限公司,邱先彪,26000000,元人民币,重庆,023-43352678,钢铁
浙江建龙钢铁实业有限公司,张伟祥,50000000,元人民币,浙江,0571-85812709,钢铁
云南永钢钢铁集团巨利达钢铁有限公司,林春霖,65000000,元人民币,云南,13888370006,钢铁
日照钢铁货运有限公司,邓海永,30000000,元人民币,山东,18263301822,钢铁
山西晋城钢铁控股集团有限公司,李强,60800000,元人民币,山西,0356-3878666,钢铁
河北纵横集团丰南钢铁有限公司,孙志祥,800000000,元人民币,河北,13785500036,钢铁
连云港兴鑫钢铁有限公司,王爱瑞,32160000,元人民币,江苏,0518-83377888,钢铁
唐山首钢宝业钢铁有限公司,赵民革,500000000,元人民币,河北,010-88291942,钢铁
辽宁成大钢铁贸易有限公司,张奎刚,54000000,元人民币,辽宁,0411-82511186,钢铁
福建泉州闽光钢铁有限责任公司,刘梅萱,34229760,元人民币,福建,0595-68869698,钢铁
江苏沙钢世富钢铁炉料有限责任公司,孙廉洁,30000000,元人民币,江苏,0512-56719355,钢铁
山东易德化工有限公司,何伟伟,3100000,元人民币,山东,15553851666,化工
江苏科特化工有限公司,梅余武,1000000,元人民币,江苏,15380676796,化工
盐城德龙化工有限公司,卞美中,500000,元人民币,江苏,13851050914,化工
江苏圳鼎化工贸易有限公司,王军宝,1000000,元人民币,江苏,18451816000,化工
嘉兴旭东化工填料有限公司,蒋龙珠,500000,元人民币,浙江,15757308485,化工
盐城海纳化工科技有限公司,王晓芹,100000,元人民币,江苏,15195129003,化工
常州美耀化工有限公司,汤秋兰,100000,元人民币,江苏,13912333916,化工
淮安宏宇化工有限公司,赵丹,100000,元人民币,江苏,13912084388,化工
昆山仟彩化工有限公司,管国红,100000,元人民币,江苏,15050265554,化工
连云港千哲化工贸易有限公司,叶阳,100000,元人民币,江苏,15850415061,化工
南京舜捷化工有限公司,王锦元,100000,元人民币,江苏,13770643800,化工
河北辰朗化工有限公司,王云龙,1000000,元人民币,河北,0316-5569190,化工
上海丹吉化工有限公司,陈伟,100000,元人民币,上海,021-59700110,化工
上海启祚化工有限公司,梁维龙,100000,元人民币,上海,17316598662,化工
大连海超化工原料有限公司,王海超,500000,元人民币,辽宁,17615183134,化工
昆山国宝化工产品有限公司,刘振壬,100000,元人民币,江苏,18118179192,化工
上海S佳化工有限公司,郭以鹏,500000,元人民币,上海,18117282008,化工
上海铂硕化工材料有限公司,李秀珍,500000,元人民币,上海,021-58255036,化工
太仓盈顺化工科技有限公司,张丽,100000,元人民币,江苏,18625237576,化工
常州朗盈油品化工有限公司,冯星星,100000,元人民币,江苏,13852312477,化工
新乡市普利化工有限公司,王海强,1000000,元人民币,河南,15893847969,化工
沈阳金泰尔化工有限公司,王磊,100000,元人民币,辽宁,13654036367,化工
东营市信润化工有限公司,孙建国,100000,元人民币,山东,0546-8639288,化工
廊坊晨华化工有限公司,李万秋,500000,元人民币,河北,0316-5950780,化工
南京睿淼化工有限公司,季坚,100000,元人民币,江苏,025-85767697,化工
山东晟宝锐化工机械制造有限公司,吴建飞,500000,元人民币,山东,15169253399,化工
任丘市鹏宇化工有限公司,任国方,1000000,元人民币,河北,13292759444,化工
廊坊成宏化工建材有限公司,杨建成,100000,元人民币,河北,0316-3265644,化工
零邀零（上海）化工有限公司,王建,500000,元人民币,上海,13914953516,化工
无锡市志诚达化工设备制造有限公司,奚勇诚,500000,元人民币,江苏,13771449918,化工
吉林市松达科技有限公司,董玉新,4000000,元人民币,吉林,13500980318,化工
淄博联创聚氨酯有限公司,王宪东,8000000,元人民币,山东,0533-6286026,化工
天津市天盛兴业干燥剂有限公司,卢秀梅,100000,元人民币,天津,15522886885,化工
天津誉瑞特品科技有限公司,孔金花,100000,元人民币,天津,13821082726,化工
浙江焓盛氟塑料有限公司,朱俊,1000000,元人民币,浙江,19957363369,化工
内乡县辉远冶锻材料有限公司,张建辉,100000,元人民币,河南,13937747728,化工
吴桥县炜恒减速机有限公司,刘文峰,100000,元人民币,河北,15383379369,化工
江阴中旭供应链有限公司,叶华锋,500000,元人民币,江苏,13861605093,化工
江苏永盛铝业有限公司,张波,1000000,元人民币,江苏,18915859996,化工
江苏金新泵业有限公司,徐乐,2688000,元人民币,江苏,13852628788,化工
北京逸峰科技有限公司,李龙军,100000,元人民币,北京,13810408212,化工
淄博盛唐环保设备有限公司,唐行军,100000,元人民币,山东,13589571688,化工
河北稳健钙业有限公司,李拉牛,1000000,元人民币,河北,15032796522,化工
江苏新迪环保设备有限公司,严雨彤,2218000,元人民币,江苏,15161051708,化工
天津市喜盈昊润钢铁贸易有限公司,于喜娟,1200000,元人民币,天津,13920318856,化工
苏州欣源N塑料有限公司,郭正兴,100000,元人民币,江苏,13862382639,化工
毕泰卡文化科技（深圳）有限公司,徐玉锁,17017000,元人民币,广东,0755-26711725,化工
潍坊市京东防水材料有限公司,隋海东,2000000,元人民币,山东,18754409111,化工
天津宝臻钢铁有限公司,张祯,600000,元人民币,天津,022-59512707,化工
喜洛化学（上海）有限公司,蔡红光,1000000,元人民币,上海,0512-53209136,化工
天津盛鑫通达钢铁贸易有限公司,石松岭,1000000,元人民币,天津,18622266011,化工
上海富激国际贸易有限公司,郑灵灵,100000,元人民币,上海,18201943118,化工
洛阳东业贸易有限公司,郭艳丽,100000,元人民币,河南,18137901121,化工
昆山超瑞克润滑材料有限公司,林世广,500000,元人民币,江苏,13773170430,化工
天津市益辉钢铁有限公司,杜景博,500000,元人民币,天津,18902121488,化工
天津尚德利亚钢铁贸易有限公司,王伟杰,500000,元人民币,天津,15122079886,化工
深圳市泛亚宁远进出口有限公司,潘小宁,100000,元人民币,广东,13609620212,化工
北京凯盛建材工程有限公司,孙建安,30000000,元人民币,北京,010-56371719,建材
金强（福建）建材科技股份有限公司,刘金铃,56510000,元人民币,福建,0591-62609999,建材
四川博利莱建材集团有限公司,刘元峰,35000000,元人民币,四川,18080415267,建材
西藏升航建材产业集团有限公司,诺旦,50000000,元人民币,西藏,0891-6563824,建材
新疆北新建材工业集团有限公司,雷亚虹,38000000,元人民币,新疆,0991-6658601,建材
漳州城投建材集团有限公司,许式彬,30000000,元人民币,福建,0596-7070591,建材
上海新型建材岩棉有限公司,林磊,40816327,元人民币,上海,021-39291299,建材
西安高科建材科技有限公司,祝社宁,40000000,元人民币,陕西,029-88318691,建材
西藏高争建材股份有限公司,达娃次仁,81584024,元人民币,西藏,0891-6157099,建材
新疆中浩建材集团有限公司,陈洪涛,30000000,元人民币,新疆,0991-3193486,建材
广州雅丰新型建材有限公司,陈璐琳,100000000,元人民币,广东,13570915351,建材
新疆雁池新型建材有限公司,蔡志舰,32216260,元人民币,新疆,0991-2570758,建材
天津市天材兴辰建材有限公司,李宝太,42798300,元人民币,天津,022-26340753,建材
安徽女神建材科技集团有限公司,宋定昌,10000010,元人民币,安徽,18919682777,建材
深圳市金地建材有限公司,韦传军,80000000,元人民币,广东,0755-82039999,建材
呼和浩特市鹏元天恒建材有限责任公司,周雪飞,58000000,元人民币,内蒙古,15647174266,建材
赤峰九天建材化工（集团）有限责任公司,郭丽娟,100000000,元人民币,内蒙古,0476-8288195,建材
福州市鸿生建材有限公司,何宝平,42898000,元人民币,福建,0591-85589818,建材
西藏昌都高争建材股份有限公司,大次仁,42000000,元人民币,西藏,0895-4810398,建材
云南昆钢嘉华水泥建材有限公司,杨林红,82500000,元人民币,云南,0871-66250051,水泥
新疆德坤建材有限责任公司,贵侠,30000000,元人民币,新疆,0991-6880146,建材
曲靖昆钢嘉华水泥建材有限公司,杨林红,37452000,元人民币,云南,13908749587,水泥
四川利森建材集团有限公司,张家彬,116639018,元人民币,四川,0838-8704555,建材
保山昆钢嘉华水泥建材有限公司,杨林红,41258000,元人民币,云南,0875-8884687,水泥
新疆青松建材有限责任公司,唐光强,149889790,元人民币,新疆,0991-5916021,建材
禹州市锦晟建材有限公司,杜晓芳,50000000,元人民币,河南,0374-6067668,建材
苏州苏福中兴建材有限公司,马俊,44000000,元人民币,江苏,0512-66955097,建材
滨州市洋海建材有限公司,李忠文,50000000,元人民币,山东,18266557721,建材
滨州市友康建材有限公司,王维杰,50000000,元人民币,山东,18254390151,建材
红河建材熔剂有限公司,董瑜,35764340,元人民币,云南,0873-3103224,建材
福建润开建材有限公司,陈文顺,30000000,元人民币,福建,13609538591,建材
陕西天力恒泰新型建材有限公司,敬西峰,30000000,元人民币,陕西,13909103049,建材
日照铭泽建材有限公司,李方生,5650000,元人民币,山东,13792033680,建材
湖南公元建材有限公司,王杰军,33700000,元人民币,湖南,0730-3051866,建材
潍坊一诺建材有限公司,刘P,58000000,元人民币,山东,13356366777,建材
中邦嘉诚建材有限公司,马康康,50000000,元人民币,河南,13562222351,建材
辽宁天资建材有限公司,李墨雪,30000000,元人民币,辽宁,13352108487,建材
洪洞平安恒利建材有限公司,马云港,30000000,元人民币,山西,18234012795,建材
无锡华厦家居港建材市场有限公司,华闽,32000000,元人民币,江苏,0510-82403358,建材
贵州兴贵恒远新型建材有限公司,邓兴贵,30000000,元人民币,贵州,0851-33605777,建材
普洱昆钢嘉华水泥建材有限公司,杨林红,38340000,元人民币,云南,0879-5877068,水泥
福建砼艺建材有限公司,杨钦云,30000000,元人民币,福建,13600865580,建材
天津市房信建材科技有限公司,陈学新,30000000,元人民币,天津,022-83121226,建材
巴州青松绿原建材有限责任公司,向安斌,36159000,元人民币,新疆,0996-2188918,建材
广西义来建材有限公司,田心静,50000000,元人民币,广西,18915360826,建材
东营市天诚建材有限公司,徐四玲,60000000,元人民币,山东,0546-8956669,建材
安徽铁庆建材有限公司,张家甫,30000000,元人民币,安徽,13956829536,建材
南京恒毓建材有限公司,许凤兰,122000000,元人民币,江苏,025-69691811,建材
苏州丰益兴建材有限公司,胡辅忠,35500000,元人民币,江苏,0511-85580985,建材
广西海螺建工建材有限责任公司,王从富,30000000,元人民币,广西,0772-4253499,建材
日喀则市雅曲新型建材有限公司,罗布次仁,40000000,元人民币,西藏,17397128878,建材
福建省宇优建材有限责任公司,王于优,53275000,元人民币,福建,18659161636,建材
德立行（福州）建材贸易有限公司,陈雨金,35000000,元人民币,福建,0591-62333308,建材
枣庄金之石建材有限公司,侯坤,60000000,元人民币,山东,17862777777,建材
扬中市磊鑫建材有限公司,孙国华,50000000,元人民币,江苏,13806144812,建材
黔南州宏安建材有限公司,汤礼平,50000000,元人民币,贵州,18985958833,建材
成都奎因思建材有限公司,陈兴华,38800000,元人民币,四川,18080421310,建材
龙口市苏龙建材有限公司,冯伟,50000000,元人民币,山东,13285459516,建材
宁夏黑金新型建材有限公司,黑小军,100000000,元人民币,宁夏,0953-5085789,建材
天津港新兴建材码头有限公司,杨学军,112600000,元人民币,天津,022-25703300,建材
浙江和海新型建材有限公司,郑伟,30000000,元人民币,浙江,0580-2327525,建材
福建中闽富晟建材有限公司,庄世铭,30000000,元人民币,福建,13774577733,建材
江阴市金三角建材市场有限公司,徐雅芬,32600000,元人民币,江苏,0510-86179232,建材
江苏升辉装饰建材实业有限公司,葛东升,36000000,元人民币,江苏,0516-83569666,建材
徐州市光驰新型建材有限公司,蔺丹,40000000,元人民币,江苏,15895232387,建材
常熟星宇新兴建材有限公司,黄群,33158000,元人民币,江苏,0512-52109588,建材
广西众合新型建材有限公司,石星军,30000000,元人民币,广西,15177838988,建材
临海伟星新型建材有限公司,洪义华,32000000,元人民币,浙江,0576-85125586,建材
吴忠赛马新型建材有限公司,贺宗林,31000000,元人民币,宁夏,0955-5619238,建材
苏州任华节能建材有限公司,任煜虎,30000000,元人民币,江苏,13814883831,建材
福州市福德发建材有限公司,李忠华,30000000,元人民币,福建,15880117303,建材
四川恒鑫嘉能建材有限公司,郑吉宽,30000000,元人民币,四川,18080404712,建材
潜江市俊毛建材有限公司,郭俊江,50000000,元人民币,湖北,15587804860,建材
阜新昌旺建材贸易有限公司,郝桂芹,30000000,元人民币,辽宁,0418-5688877,建材
龙口市山江建材有限公司,孙迎秋,100000000,元人民币,山东,15762346818,建材
常熟星岛新兴建材有限公司,吴良兵,101550000,元人民币,江苏,13812818509,建材
内蒙古蒙西水泥股份有限公司,刘鹏飞,60000000,元人民币,内蒙古,0471-3456955,水泥
大连水泥集团有限公司,徐风,88898000,元人民币,辽宁,0411-86522011,水泥
福建水泥股份有限公司,王金星,38187367,元人民币,福建,0591-88561889,水泥
华新水泥股份有限公司,李叶青,209659986,元人民币,湖北,027-87773996,水泥
尧柏特种水泥集团有限公司,王蕊,189000000,元人民币,陕西,029-89254988,水泥
山东山水水泥集团有限公司,常张利,363300000,元人民币,山东,0531-88360516,水泥
洛阳黄河同力水泥有限责任公司,陈立新,46212110,元人民币,河南,0379-60212721,水泥
福建南平水泥股份有限公司,甘毓d,35136672,元人民币,福建,0599-8281150,水泥
乌兰察布中联水泥有限公司,贾书伟,56525650,元人民币,内蒙古,0474-6543033,水泥
南阳中联卧龙水泥有限公司,柳俊林,30000000,元人民币,河南,0377-68079270,水泥
甘肃祁连山水泥集团股份有限公司,脱利成,77629028,元人民币,甘肃,0931-4900619,水泥
河北京兰水泥有限公司,余培良,50000000,元人民币,河北,0312-6379800,水泥
山东东华水泥有限公司,李庆文,37800000,元人民币,山东,0533-5866042,水泥
安阳中联水泥有限公司,刘宗虎,60000000,元人民币,河南,0372-3189835,水泥
重庆西南水泥有限公司,白彦,200000000,元人民币,重庆,023-63805881,水泥
四川省星船城水泥股份有限公司,陈铁军,36953221,元人民币,四川,0832-5631550,水泥
重庆铜梁西南水泥有限公司,李军,30000000,元人民币,重庆,023-87302200,水泥
邯郸金隅太行水泥有限责任公司,王东书,66434287,元人民币,河北,0310-5062920,水泥
四川峨胜水泥集团股份有限公司,熊建华,35990000,元人民币,四川,0833-5573566,水泥
湖北京兰水泥集团有限公司,余培良,55000000,元人民币,湖北,0724-7539099,水泥
江西南方万年青水泥有限公司,李世锋,100000000,元人民币,江西,0791-88160027,水泥
新安中联万基水泥有限公司,赵胜德,30000000,元人民币,河南,0379-67333288,水泥
江西万年青水泥股份有限公司,江尚文,79737368,元人民币,江西,0793-88160027,水泥
重庆长寿西南水泥有限公司,余劲松,42000000,元人民币,重庆,023-40715626,水泥
禹州市锦信水泥有限公司,王保太,50000000,元人民币,河南,0374-6067689,水泥
