企业名称, 法定代表人, 注册资本(元), 注册资金币种, 所属省份,电话,类别
驻马店市豫龙同力水泥有限公司,悦伟,57194020,元人民币,河南,0396-7060008,水泥
冀东海天水泥闻喜有限责任公司,王飞,45315000,元人民币,山西,0359-7306088-6087,水泥
江苏金峰水泥集团有限公司,丁建庆,102800000,元人民币,江苏,0519-87550860,水泥
葛洲坝松滋水泥有限公司,吴祖德,41500000,元人民币,湖北,0716-6517108,水泥
四川双马水泥股份有限公司,谢建平,76344033,元人民币,四川,028-63231522,水泥
龙里红狮水泥有限公司,章锦鸿,38000000,元人民币,贵州,0854-5730610,水泥
邢台金隅咏宁水泥有限公司,李太功,33000000,元人民币,河北,0319-7259539,水泥
山东泉兴中联水泥有限公司,张宗辉,200000000,元人民币,山东,0632-8636576,水泥
遵义砺锋水泥有限公司,孙健,50041600,元人民币,贵州,0851-28779051,水泥
乾县海螺水泥有限责任公司,范长虹,56000000,元人民币,陕西,029-38978006,水泥
北京金隅水泥经贸有限公司,魏有奎,50000000,元人民币,北京,010-67283099,水泥
陕西生态水泥股份有限公司,张超晖,100000000,元人民币,陕西,029-81772204,水泥
江西瑞金万年青水泥有限责任公司,李世锋,48520000,元人民币,江西,0797-2562712,水泥
湖南韶峰水泥（集团）有限公司,肖小高,45685800,元人民币,湖南,0731-56996166,水泥
贵州西南鱼峰水泥有限公司,向开伟,90000000,元人民币,贵州,0851-84837555,水泥
大连天瑞水泥有限公司,李海军,47971490,元人民币,辽宁,0411-85283598,水泥
登封中联登电水泥有限公司,潘凤t,30000000,元人民币,河南,0371-62721881,水泥
四川川煤水泥股份有限公司,张家彬,30000000,元人民币,四川,0839-6604999,水泥
青州中联水泥有限公司,刘尊科,30000000,元人民币,山东,0536-3897801,水泥
浙江红狮水泥股份有限公司,章小华,108800000,元人民币,浙江,0579-88256610,水泥
中材萍乡水泥有限公司,贾相华,33000000,元人民币,江西,0799-2099013,水泥
华蓥台泥水泥有限公司,吕克甫,94988000,元人民币,四川,0826-4666722,水泥
河北金隅鼎鑫水泥有限公司,王志刚,131700000,元人民币,河北,0311-82213057,水泥
葛洲坝钟祥水泥有限公司,谢剑峰,117290000,元人民币,湖北,0724-4838966,水泥
重庆拉法基水泥有限公司,LO CHI KONG（罗志光）,34000000,元人民币,重庆,023-62482315,水泥
重庆海螺水泥有限责任公司,张来辉,55000000,元人民币,重庆,023-54409502,水泥
曲阳金隅水泥有限公司,刘庆平,35000000,元人民币,河北,0312-4232000,水泥
金隅冀东水泥（唐山）有限责任公司,孔庆辉,400000000,元人民币,河北,010-59512089,水泥
烟台栖霞中联水泥有限公司,王克东,41041549,元人民币,山东,0535-5571220,水泥
山东胜利钢管有限公司,张必壮,115400000,元人民币,山东,0533-2272341,矿产
青龙满族自治县歪桃山矿业有限公司,郭玉喜,20000000,元人民币,河北,17725578333,矿产
四川金能达矿业开发有限公司,杨志斌,20000000,元人民币,四川,028-86615155,矿产
山东鸿承冶炼有限公司,刘泽铭,20000000,元人民币,山东,0535-2179877,矿产
莱芜莱新铁矿有限责任公司,张京涛,20000000,元人民币,山东,0531-6069117,矿产
北京兴安富邦矿业有限公司,曲卫东,20000000,元人民币,北京,13701019558,矿产
中合联商贸集团有限公司,陈宗吉,20000000,元人民币,北京,010-68349970,矿产
四川茂源矿业开发有限公司,蔡立军,20000000,元人民币,四川,028-86615155,矿产
丰宁顺达矿业集团有限公司,王福国,20000000,元人民币,河北,15694947879,矿产
聚德汇通（北京）科贸有限公司,徐秋冰,20000000,元人民币,北京,13051169700,矿产
内蒙古东大永元矿业集团有限公司,刘厚言,20000000,元人民币,内蒙古,18647694688,矿产
安徽新超材料科技有限公司,胡国信,20000000,元人民币,安徽,0556-8899207,矿产
本溪市金和矿业有限公司,李发,20000000,元人民币,辽宁,0414-47275555,矿产
乌拉特中旗永来矿业有限责任公司,杨继刚,20000000,元人民币,内蒙古,15024883333,矿产
北京鹏龙天创物资贸易有限公司,孙宏宇,20000000,元人民币,北京,010-58527195,矿产
徐州兴沛能源有限公司,孟祥骏,20000000,元人民币,江苏,13324567890,矿产
山东蓝格矿业有限公司,付晓亮,20000000,元人民币,山东,18800335018,矿产
三门峡宝山矿业有限公司,李兴旺,20000000,元人民币,河南,13581915181,矿产
云南明利化工有限公司,林晓东,20000000,元人民币,云南,18074810079,矿产
天津港鑫国际贸易有限公司,邓宏鑫,20000000,元人民币,天津,18920347716,矿产
包头市易浩通环保科技有限公司,王威,20000000,元人民币,内蒙古,15849486188,矿产
天津航物国际贸易有限公司,闫昶煦,20000000,元人民币,天津,022-58099706,矿产
莱州九五实业有限公司,季庆滨,20000000,元人民币,山东,15920037129,矿产
安徽海瀚矿业有限公司,李仲保,20000000,元人民币,安徽,13956116663,矿产
平陆县虞凯废矿石综合利用有限公司,袁红章,20000000,元人民币,山西,13849060061,矿产
朝阳新华钼业有限责任公司,赵春雷,20000000,元人民币,辽宁,0421-4115059,矿产
云南大红地建筑有限公司,彭庆伦,20000000,元人民币,云南,13888853399,矿产
湖南高视伟业碳酸钙产业发展有限公司,刘潭爱,20000000,元人民币,湖南,0735-6363779,矿产
中能源（山东）物流有限公司,刘一冬,20000000,元人民币,山东,0533-3052299,矿产
内蒙古浩通环保科技有限公司,王威,20000000,元人民币,内蒙古,15848842678,矿产
江苏中关村科技产业园进出口贸易有限公司,唐正昊,20000000,元人民币,江苏,0519-87880030,矿产
湖北堰边上矿业有限公司,姜兴武,20000000,元人民币,湖北,0710-5069810,矿产
天津菲诺尔国际贸易有限公司,黄佳俊,20000000,元人民币,天津,18920722509,矿产
左权县鑫泰冶金矿山有限责任公司,马栋峰,20000000,元人民币,山西,18635433564,矿产
辽宁天元锰业有限公司,仇广纯,20000000,元人民币,辽宁,010-65101730,矿产
茌平万泽商贸有限公司,王士勇,20000000,元人民币,山东,0635-4257088,矿产
唐山鑫晶特钢有限公司,王子刚,20000000,元人民币,河北,0315-3579809,矿产
江西铜业磷化有限公司,徐勇辉,20000000,元人民币,江西,13507030930,矿产
山西德容佳合工贸有限公司,白敏,20000000,元人民币,山西,15834028382,矿产
上海f瑞贸易有限公司,曹F鎏,20000000,元人民币,上海,021-62887056,矿产
山东中发港务有限公司,王静,20000000,元人民币,山东,13601091116,矿产
内蒙古普泽新材料科技有限公司,胡站斌,20000000,元人民币,内蒙古,0474-3589007,矿产
山西晋南钢铁集团有限公司,张天福,20000000,元人民币,山西,0357-4530920,矿产
攀枝花市融恒达实业有限公司,秦远,20000000,元人民币,四川,13350540766,矿产
青岛中垠瑞丰国际贸易有限公司,刘毓,20000000,元人民币,山东,0532-82023955,矿产
山西潞安元丰矿业有限公司,胡学军,20000000,元人民币,山西,0355-5958760,矿产
山西万华清洁能源有限公司,李云生,20000000,元人民币,山西,0357-8156600,矿产
舟山仁鼎贸易有限公司,黄佳俊,20000000,元人民币,浙江,15595473210,矿产
汉能新材料科技有限公司,张颖,20000000,元人民币,北京,010-83914567,矿产
天津祥鼎隆实业有限公司,韩建锋,20000000,元人民币,天津,18102116438,矿产
天津际华国际贸易有限公司,邓宏鑫,20000000,元人民币,天津,13370442416,矿产
天津昊天国际贸易有限公司,李芸霞,20000000,元人民币,天津,18622887031,矿产
联添控股集团有限公司,崔文斌,20000000,元人民币,天津,18622748133,矿产
天津鑫呈实业有限公司,王铁军,20000000,元人民币,天津,18102114819,矿产
青岛润丰铝箔有限公司,周涛,20000000,元人民币,山东,0532-55596103,矿产
舟山嘉泽实业有限公司,李晓军,20000000,元人民币,浙江,18609517830,矿产
舟山丰伟实业有限公司,万永清,20000000,元人民币,浙江,18609517830,矿产
江苏德顺镍业有限公司,戴国芳,20000000,元人民币,江苏,0515-86868999,矿产
贵州织金兆恒铝业有限公司,姚华军,20000000,元人民币,贵州,15854888888,矿产
舟山雄盛实业有限公司,刘学保,20000000,元人民币,浙江,18609517830,矿产
天津威圣实业有限公司,王铁军,20000000,元人民币,天津,15320050393,矿产
江苏沿海钢铁集团有限公司,王爱瑞,20000000,元人民币,江苏,0518-85866579,矿产
智领天跃有限公司,董明智,20000000,元人民币,北京,15901135905,矿产
吉林向润物资贸易有限公司,李智慧,20000000,元人民币,吉林,13514493104,矿产
山西沃能化工科技有限公司,郑家强,20000000,元人民币,山西,0357-5528182,矿产
天津市众泰集团有限公司,李建华,20000000,元人民币,天津,022-83710119,矿产
青岛邦拓新材料科技有限公司,仇晓军,20000000,元人民币,山东,15535715028,矿产
华地福缘矿业股份有限公司,白胜国,20000000,元人民币,河北,13223367777,矿产
富汇尔（天津）国际贸易有限公司,刘树军,20000000,元人民币,天津,18322564099,矿产
阿克陶县锰兴矿产资源开发有限责任公司,张学核,20000000,元人民币,新疆,0908-7666600,矿产
佰泽集团有限公司,朱峰,20000000,元人民币,北京,010-62508800,矿产
盛源科技集团有限公司,朱道明,20000000,元人民币,山东,0632-4056990,矿产
泉州市开源实业有限责任公司,曾清加,20000000,元人民币,福建,0595-28063287,矿产
中新北方能源经贸有限公司,周广荣,20000000,元人民币,北京,0477-5127013,矿产
黑龙江倍丰农业生产资料集团有限公司,刘艳明,20000000,元人民币,黑龙江,0451-88383752,矿产
北京洁云环保科技有限公司,陈雁归,20000000,元人民币,北京,15611268999,矿产
江苏新宏大集团有限公司,陈爱民,20000000,元人民币,江苏,0523-83886001,矿产
营口经济技术开发区晨光物流有限公司,党成斌,20000000,元人民币,辽宁,18741721899,矿产
湖北铜化昊坤化工有限公司,黄荣,20000000,元人民币,湖北,0717-3991166,矿产
沈阳恒茂能源发展有限公司,解相国,20000000,元人民币,辽宁,18840854398,矿产
山东宇信铸业有限公司,姚国修,20000000,元人民币,山东,0536-3750882,矿产
天津冀物金属材料有限公司,苏存江,20000000,元人民币,天津,022-60275995,矿产
上海雷林生态科技有限公司,陈悦,20000000,元人民币,上海,021-54378797,矿产
北京华星实创文化产业发展有限公司,贾志鑫,20000000,元人民币,北京,13811130510,矿产
四川省巨申进出口贸易有限公司,杨清慧,20000000,元人民币,四川,15928256538,矿产
舟山诚贤贸易有限公司,杨凯,20000000,元人民币,浙江,18609517830,矿产
河北华增达国际物流有限公司,王锋,20000000,元人民币,河北,0310-5898985,矿产
山西煤炭运销集团临汾有限公司,冯志平,20000000,元人民币,山西,0357-2683971,矿产
秦皇岛秦晋通商贸有限公司,马彩珍,20000000,元人民币,河北,13784066736,矿产
上海澈桐贸易有限公司,孙晓,20000000,元人民币,上海,021-32500565,矿产
山东中悦石化科技有限公司,周连明,20000000,元人民币,山东,0543-2911126,矿产
正威（新疆）铜业有限公司,张竹锋,20000000,元人民币,新疆,0991-3920528,矿产
重庆人和粮食产业集团有限责任公司,叶凤鸣,20000000,元人民币,重庆,023-65268379,矿产
天津物产化轻旭阳国际贸易有限公司,王强,20000000,元人民币,天津,022-58882473,矿产
广西光正矿产业有限公司,李广安,20000000,元人民币,广西,0778-2453899,矿产
山西建通科技有限公司,张浩宇,20000000,元人民币,山西,13834622463,矿产
阳泉煤业晋东物流有限公司,安文罡,20000000,元人民币,山西,0353-7089911,矿产
唐山市多福商贸有限公司,季志军,20000000,元人民币,河北,0315-8590069,矿产
山东拓新新材料有限公司,吉连政,20000000,元人民币,山东,0530-8025835,矿产
中农集团农业装备有限公司,刘尧,20000000,元人民币,北京,010-59337122,矿产
山东盛德大业供应链有限公司,钱国忠,20000000,元人民币,山东,15163801620,矿产
吕梁市腾阳中钰能源有限公司,陈鸿鹏,20000000,元人民币,山西,15035875199,矿产
北京民峰实业有限公司,王富荣,20000000,元人民币,北京,13331080025,矿产
山西建盛源新能源有限公司,吴晓年,20000000,元人民币,山西,0357-4035622,矿产
大同煤业国际贸易有限责任公司,陈红政,20000000,元人民币,山西,0352-7010566,矿产
江苏君地能源国际贸易有限公司,朱元昌,20000000,元人民币,江苏,0513-68037781,矿产
本溪世联贸易有限公司,揭远珍,20000000,元人民币,辽宁,15274253487,矿产
天津市嘉柏宏业新材料科技有限公司,焦同民,20000000,元人民币,天津,022-28362001,矿产
营口金鼎镁矿有限公司,秦书洋,20000000,元人民币,辽宁,0417-5284555,矿产
六枝特区佳顺焦化有限公司,朱连珍,20000000,元人民币,贵州,0858-5325906,矿产
中安亘大实业有限公司,杨礼国,20000000,元人民币,重庆,023-68088863,矿产
宜昌白洋港集装箱有限公司,范德钦,20000000,元人民币,湖北,0717-6288515,矿产
延边州茂恒能源发展有限公司,解相国,20000000,元人民币,吉林,13130406688,矿产
上海通安国际贸易有限公司,马红丽,20000000,元人民币,上海,18852110627,矿产
浙江鹏源供应链管理有限公司,戴志勇,20000000,元人民币,浙江,0574-56881506,矿产
山西山花实业有限公司,贺志强,20000000,元人民币,山西,0358-2298584,矿产
北京燕通水煤浆有限公司,翁柏秋,20000000,元人民币,北京,010-81337362,矿产
天津中润宝晨国际贸易有限公司,张绵科,20000000,元人民币,天津,13752714567,矿产
河北利冠承再生资源利用有限公司,张全德,20000000,元人民币,河北,18812051271,矿产
中鑫荣途（深圳）供应链管理有限公司,金维刚,20000000,元人民币,广东,13622885739,矿产
本溪津瑞科技有限公司,揭远珍,20000000,元人民币,辽宁,15274253487,矿产
深圳中运银盾实业有限公司,谭金润,20000000,元人民币,广东,13316817375,矿产
尚纬销售有限公司,李永华,20000000,元人民币,安徽,0553-6888888,矿产
上海潘辉工贸有限公司,李苏原,20000000,元人民币,上海,021-52195555,矿产
中盛（天津）商业集团有限公司,吴知勇,20000000,元人民币,天津,022-27111111,矿产
中农科物资（重庆）有限公司,万凯,20000000,元人民币,重庆,13316501713,矿产
中融鑫集团有限公司,陈诚,20000000,元人民币,北京,010-65268499,矿产
北京路通天虹科技集团有限公司,王建成,20000000,元人民币,北京,010-82666666,矿产
江苏宝D国际贸易有限公司,陆芹,20000000,元人民币,江苏,0513-87588087,矿产
河北遂泽实业有限公司,田险峰,20000000,元人民币,河北,0310-7511088,矿产
和静县备战矿业有限责任公司,高伟,21000000,元人民币,新疆,0996-5390346,矿产
吉林省银隆能源有限公司,李显江,21000000,元人民币,吉林,18686317122,矿产
陕西金栋矿业有限责任公司,张小莉,21000000,元人民币,陕西,13992208778,矿产
辽宁盛世源石油化工有限公司,徐长生,21000000,元人民币,辽宁,13322425246,矿产
枣庄国众矿业有限公司,孙茂军,21000000,元人民币,山东,18669638111,矿产
天津创欧商贸有限公司,苑振亮,21000000,元人民币,天津,022-27281366,矿产
北京天仁道和新材料有限公司,吴佩芳,21000000,元人民币,北京,010-62422284,矿产
贵州开磷集团股份有限公司,陈惠云,212368158,元人民币,贵州,0851-86989132,矿产
攀枝花仁江钒钛有限公司,张崇辉,21836790,元人民币,四川,0812-3506235,矿产
山西煤炭运销集团吕梁有限公司,王建军,22000000,元人民币,山西,0358-7621619,矿产
贵州胜有福矿业有限责任公司,谭川,22000000,元人民币,贵州,0854-2468758,矿产
三林万业（上海）企业集团有限公司,林逢生,222336000,元人民币,上海,021-50367878,矿产
河北兴华钢铁有限公司,陈茂春,22260000,元人民币,河北,0310-5173991,矿产
深圳市琪创能商贸有限公司,张瑜文,22405000,元人民币,广东,0755-88262503,矿产
河钢集团国际物流有限公司,杨春华,224300000,元人民币,河北,0311-66778531,矿产
曹妃甸港保税储运有限公司,王克生,22490000,元人民币,河北,0315-8850253,矿产
云南源源创新实业有限责任公司,唐铭书,22496478,元人民币,云南,0873-6132915,矿产
龙陵海螺水泥有限责任公司,黄小明,22500000,元人民币,云南,0875-6808707,水泥
辽宁连山钼业（集团）有限公司,张志新,22790000,元人民币,辽宁,0429-4707008,矿产
河北津西钢铁集团股份有限公司,于利峰,22863557,元人民币,河北,0315-5888174,矿产
江西方大钢铁集团有限公司,黄智华,103533900,元人民币,江西,0791-86753051,矿产
海南海钢集团有限公司,周湘平,101000000,元人民币,海南,26605815,矿产
丰丰国际新能源科技集团有限公司,宁宇,38000000,元人民币,辽宁,18640059592,能源
华贸能源（天津）集团有限公司,张学明,10500000,元人民币,天津,022-24163718,能源
北京华源鸿盛能源科技有限公司,张进,10000000,元人民币,北京,0731-84887488,能源
华电新能源发展有限公司,黄少雄,66321225,元人民币,北京,010-83567521,能源
河南中锐环科清洁能源集团有限公司,于靖雨,18000000,元人民币,河南,13137210086,能源
国网综合能源服务集团有限公司,任伟理,420000000,元人民币,北京,010-63505678,能源
天津神鹿能源有限公司,李子彬,10000000,元人民币,天津,022-58237832,能源
金科新能源有限公司,刘忠海,200000000,元人民币,北京,15110093931,能源
广东泰豪能源科技有限公司,许全,20000000,元人民币,广东,17770088658,能源
国电投（天津）分布式能源有限公司,张国山,30000000,元人民币,天津,18647540101,能源
深圳市欣旺达综合能源服务有限公司,李章溢,10000000,元人民币,广东,0755-86958041,能源
深圳塔菲尔新能源科技有限公司,龙绘锦,10000000,元人民币,广东,0755-26912148,能源
台达电子企业管理（上海）有限公司,郑崇华,79317000,元人民币,上海,021-68619090,能源
上海三亿新能源有限责任公司,冯建青,10000000,元人民币,上海,13205128061,能源
天津协合新能源发展有限公司,杨智峰,70000000,元人民币,天津,18571590505,能源
广东荣文科技集团有限公司,谭炜,18000000,元人民币,广东,0769-82288988,能源
路华能源科技（保山）有限公司,沈少美,28800000,元人民币,云南,0875-8886869,能源
西安隆基新能源有限公司,李振国,140000000,元人民币,陕西,029-81566686-8163,能源
庆阳翰达商贸有限公司,吴刚刚,1000000,元人民币,甘肃,18293421134,农副
亳州市富隆农业发展有限公司,张士均,1000000,元人民币,安徽,18133357111,农副
焦作盛方农业科技有限公司,赵天有,1000000,元人民币,河南,18336874048,农副
洛阳云在农业有限公司,雷风乐,1000000,元人民币,河南,13183067666,农副
深圳市北鼎科技有限公司,方镇,1000000,元人民币,广东,0755-26559917,农副
天津市林氏商贸有限公司,杨万玉,1000000,元人民币,天津,13389988033,农副
福建省三明诚品农牧有限责任公司,叶桂秀,1000000,元人民币,福建,13055555270,农副
荥阳市荥农农业有限公司,杨臣,1000000,元人民币,河南,15136401080,农副
安徽省亿米农业科技有限责任公司,任朝桂,1000000,元人民币,安徽,18155595447,农副
亳州市谯城区润兴农业发展有限责任公司,田嘉男,1000000,元人民币,安徽,18009670777,农副
南阳连众农业科技开发有限公司,李清太,1000000,元人民币,河南,15993145543,农副
甘肃农发福地生态农业有限公司,郑美佳,1000000,元人民币,甘肃,15002664488,农副
宿松县山川农业开发有限公司,陈周宇,1000000,元人民币,安徽,15855661622,农副
西双版纳常青藤进出口贸易有限公司,蒋超,1000000,元人民币,云南,13324989990,农副
宜春市袁州区江南红农产品有限公司,彭绍洪,1000000,元人民币,江西,13870581079,农副
洛川辉胜商贸有限责任公司,屈峰辉,1000000,元人民币,陕西,15592918111,农副
亳州市福赐农业发展有限公司,范义利,1000000,元人民币,安徽,15156766628,农副
抚州市东乡区云集汇贸易有限公司,曾青辉,1000000,元人民币,江西,13767634888,农副
吉林省海锐实业有限公司,苏小蕾,1000000,元人民币,吉林,18704393333,农副
山东臻膳堂食品有限公司,孙宁宇,1000000,元人民币,山东,13954878133,农副
黑龙江省禾赢农业科技有限责任公司,郭少峰,1000000,元人民币,黑龙江,13009751075,农副
北京盛京百汇商贸有限责任公司,安玉斌,1000000,元人民币,北京,13717879068,农副
河南康寿缘商贸有限公司,张国防,1000000,元人民币,河南,18603856178,农副
泰州市绿园生态农业发展有限公司,李桂华,1000000,元人民币,江苏,18852635777,农副
沈阳旭锦星农牧业科技有限公司,谢强,1000000,元人民币,辽宁,13940040300,农副
辽宁源鲜农业有限公司,王琦,1000000,元人民币,辽宁,13364131210,农副
重庆水生网生态农业发展有限公司,郭青,1000000,元人民币,重庆,023-89185630,农副
沈阳通和宏海商贸有限公司,郑亚琴,1000000,元人民币,辽宁,13516022588,农副
南召县旭峰农业发展有限公司,王兴旭,1000000,元人民币,河南,13525685606,农副
洛阳润世农业开发有限公司,王富生,1000000,元人民币,河南,13939903081,农副
辽宁凯瑞侬种子有限公司,黄颖,1000000,元人民币,辽宁,13840475599,农副
高密市鹰之眼国际贸易有限公司,单文,1000000,元人民币,山东,13615360222,农副
江苏兆坤商贸有限公司,吴强,1000000,元人民币,江苏,19906285200,农副
青岛黄海橡胶集团有限责任公司,王立宪,80000000,元人民币,山东,0532-68016591,橡塑
浙江三维橡胶制品股份有限公司,叶继跃,30441815,元人民币,浙江,0576-83518368,橡塑
荣成市华诚橡胶有限公司,杨卫忠,20000000,元人民币,山东,0631-7660666,橡塑
辽宁盛唐异戊橡胶有限公司,曹斌豫,35000000,元人民币,辽宁,13841996817,橡塑
浩普新材料科技股份有限公司,高学旗,36000000,元人民币,山东,0535-6973187,橡塑
山东祥通橡塑集团有限公司,张建鲁,30000000,元人民币,山东,0537-2935111,橡塑
江苏博生医用新材料股份有限公司,张吕义,20000000,元人民币,江苏,0523-83762398,橡塑
山东宏盛橡胶科技有限公司,张玉亮,30000000,元人民币,山东,0546-7799627,橡塑
四川海大橡胶集团有限公司,向春东,40600000,元人民币,四川,028-27729251,橡塑
百耐特（新兴）新材料科技有限公司,曲守礼,30000000,元人民币,广东,19925599109,橡塑
山东鑫瑞纳科技有限公司,刘瑞强,30000000,元人民币,山东,13626486363,橡塑
阜新双橡工矿橡塑制品有限公司,付殿文,20000000,元人民币,辽宁,0418-3860333,橡塑
青岛格锐达橡胶有限公司,杨洵,43823699,元人民币,山东,0532-86318129,橡塑
广西安格特橡胶科技有限公司,陈国旭,40000000,元人民币,广西,18680291681,橡塑
上海龙橡国际贸易有限公司,陈祖敬,20000000,元人民币,上海,18616113215,橡塑
云南天然橡胶产业股份有限公司,王伟,83000000,元人民币,云南,0871-63317855,橡塑
中粉国际（唐山）橡胶有限公司,彭加才,31399000,元人民币,河北,13930551159,橡塑
西安重装渭南橡胶制品有限公司,杨化民,37000000,元人民币,陕西,0913-8181258,橡塑
山东道远橡胶科技有限公司,郭克义,20000000,元人民币,山东,0546-6850222,橡塑
安徽中鼎减震橡胶技术有限公司,夏鼎湖,156400000,元人民币,安徽,0563-4185040,橡塑
亿峰橡胶制品有限公司,常付田,20000000,元人民币,湖北,0710-8190279,橡塑
江苏明珠硅橡胶材料有限公司,施纪洪,30000000,元人民币,江苏,0511-88223400,橡塑
广东省广垦橡胶集团有限公司,陈茗,231524697,元人民币,广东,020-87089486,橡塑
潍坊顺福昌橡塑有限公司,郭延顺,28000000,元人民币,山东,0536-5897366,橡塑
